shortNm,LongNms,Campus,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,Apr2019Tot,N_ppl_atL1M07.18,surveyRepsPot,AtLstOncePerPot,shortNm,LongNms,Campus,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,Apr2019Tot,N_ppl_atL1M07.18,surveyRepsPot,AtLstOncePerPot,shortNm,LongNms,Campus,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,Apr2019Tot,N_ppl_atL1M07.18,surveyRepsPot,AtLstOncePerPot,shortNm,LongNms,Campus,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,Apr2019Tot,N_ppl_atL1M07.18,surveyRepsPot,AtLstOncePerPot,shortNm,LongNms,Campus,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,Apr2019Tot,N_ppl_atL1M07.18,surveyRepsPot,AtLstOncePerPot,shortNm,LongNms,Campus,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,Apr2019Tot,N_ppl_atL1M07.18,surveyRepsPot,AtLstOncePerPot,shortNm,LongNms,Campus,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,Apr2019Tot,N_ppl_atL1M07.18,surveyRepsPot,AtLstOncePerPot,shortNm,LongNms,Campus,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,Apr2019Tot,N_ppl_atL1M07.18,surveyRepsPot,AtLstOncePerPot,shortNm,LongNms,Campus,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,Apr2019Tot,N_ppl_atL1M07.18,surveyRepsPot,AtLstOncePerPot
b1,So. Region 1,Glendale College,1,0,0,0,0,0,0,0,0,1,2,0,2,6,4,84,0.048,b1,So. Region 1,Los Angeles Pierce C.,4,3,3,4,3,4,5,4,4,3,0,0,0,37,9,67,0.134,b1,So. Region 1,Los Angeles Valley C.,1,1,1,0,1,0,2,1,1,0,2,0,0,10,4,35,0.114,b1,So. Region 1,Oxnard College,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,23,0.087,b1,So. Region 1,College of the Canyons,1,0,0,0,0,0,0,1,0,1,2,0,1,6,4,87,0.046,b1,So. Region 1,Santa Monica College,1,1,0,1,1,1,1,1,2,0,0,0,0,9,3,147,0.02,b1,So. Region 1,Ventura College,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,42,0.024,b1,So. Region 1,West Los Angeles C.,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,40,0.025,,,,,,,,,,,,,,,,,,,,
b2,So. Region 2,Pasadena City C.,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1,42,0.024,b2,So. Region 2,Chaffey College,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,90,0.022,b2,So. Region 2,Citrus College,10,3,6,3,2,2,0,0,0,0,0,0,0,26,8,32,0.25,b2,So. Region 2,East Los Angeles C.,1,0,1,0,3,1,1,0,0,0,0,0,0,7,4,105,0.038,b2,So. Region 2,Mt. San Antonio C.,1,1,5,0,1,0,0,0,1,1,0,0,1,11,7,90,0.078,b2,So. Region 2,Norco College,0,1,1,0,1,0,0,0,0,0,0,0,0,3,1,18,0.056,b2,So. Region 2,Rio Hondo College,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,45,0.022,b2,So. Region 2,College of the Desert,1,0,1,1,1,1,0,1,0,3,0,0,0,9,3,26,0.115,,,,,,,,,,,,,,,,,,,,
b3,So. Region 3,Grossmont College,1,0,0,0,0,0,0,0,2,0,0,0,2,5,3,77,0.039,b3,So. Region 3,Imperial Valley C.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,25,0.04,b3,So. Region 3,MiraCosta College,1,1,1,2,1,1,1,1,0,1,1,0,0,11,4,75,0.053,b3,So. Region 3,Palomar College,1,1,0,0,0,0,1,0,2,0,0,0,0,5,3,91,0.033,b3,So. Region 3,San Diego City College,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,27,0.037,b3,So. Region 3,San Diego Mesa C.,2,1,2,0,1,0,1,1,2,1,1,1,0,13,3,67,0.045,b3,So. Region 3,San Diego Miramar C.,1,1,0,0,0,0,0,1,0,0,0,0,2,5,3,35,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,So. Region 4,Cerritos College,1,0,1,0,1,0,1,0,1,0,0,0,0,5,1,81,0.012,b4,So. Region 4,Coastline Comm. C.,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,31,0.097,b4,So. Region 4,El Camino College,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,139,0.007,b4,So. Region 4,Irvine Valley College,1,0,0,0,0,0,2,0,0,0,3,0,0,6,2,44,0.045,b4,So. Region 4,Orange Coast College,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,26,0.077,b4,So. Region 4,Saddleback College,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,56,0.018,b4,So. Region 4,Santa Ana College,1,0,0,2,2,1,2,1,2,2,1,1,0,15,1,80,0.013,b4,So. Region 4,Santiago Canyon C.,1,0,1,0,0,0,0,1,1,0,1,1,0,6,1,32,0.031,,,,,,,,,,,,,,,,,,,,
b5,So. Region 5,Antelope Valley C.,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,48,0.063,b5,So. Region 5,Barstow College,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,18,0.056,b5,So. Region 5,Cerro Coso Comm. C.,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,12,0.083,b5,So. Region 5,Moreno Valley C.,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,35,0.029,b5,So. Region 5,Riverside City College,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,28,0.036,b5,So. Region 5,San Bernardino V. C.,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,38,0.026,b5,So. Region 5,Victor Valley College,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,35,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c8,cc's out of CA 1,Chandler-Gilbert C. (AZ),1,2,1,2,0,0,1,0,0,0,0,2,1,10,3,40,0.075,c8,cc's out of CA 1,College of Southern NV,1,1,1,1,1,1,1,1,2,1,0,1,0,12,2,40,0.05,c8,cc's out of CA 1,Glendale College (AZ),0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,40,0.05,c8,cc's out of CA 1,Pima CC (AZ),0,0,0,0,0,0,0,1,0,0,0,1,1,3,1,40,0.025,c8,cc's out of CA 1,Scottsdale CC (AZ),0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,40,0.025,c8,cc's out of CA 1,Truckee Meadows CC (NV),1,3,3,1,2,2,2,0,1,0,2,2,0,19,6,40,0.015,c8,cc's out of CA 1,Western Nevada C.,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,40,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c9,cc's out of CA 2,Clackamas Coallege (OR),1,0,0,1,0,0,1,1,0,0,0,0,0,4,1,40,0.025,c9,cc's out of CA 2,Highline CC (WA),0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,40,0.025,c9,cc's out of CA 2,Leeward CC (HI),0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,40,0.05,c9,cc's out of CA 2,Portland CC (OR),0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,40,0.025,c9,cc's out of CA 2,Shoreline CC (OR),0,0,0,0,0,0,0,0,1,1,0,1,0,3,1,40,0.025,c9,cc's out of CA 2,Walla Walla CC (WA),0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,40,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c10,cc's out of CA 3,Joliet Junior College (IL),0,1,1,0,0,0,0,1,0,0,0,0,0,3,1,40,0.025,c10,cc's out of CA 3,Marymount Univ. (IL),0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,40,0.025,c10,cc's out of CA 3,Normandale C. (MN),0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,40,0.025,c10,cc's out of CA 3,Owensboro CTC (KY),0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,40,0.025,c10,cc's out of CA 3,Rochester CTC (MN),0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,40,0.025,c10,cc's out of CA 3,Rock Valley College (IL),0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,40,0.05,c10,cc's out of CA 3,St. Louis CC (MO),0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,40,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c11,cc's out of CA 4,Dutchess CC (NY),0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,40,0.025,c11,cc's out of CA 4,Harford CC (MD),0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,40,0.025,c11,cc's out of CA 4,Harrisburg Area CC (PA),0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,40,0.025,c11,cc's out of CA 4,Macon State CC (GA),0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,40,0.025,c11,cc's out of CA 4,North Shore CC (MA),0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,40,0.025,c11,cc's out of CA 4,Quinsigamond C. (MA),0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,40,0.025,c11,cc's out of CA 4,Seminole CC (FL),0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,40,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7,any Univ. of CA (UC),UC Berkeley,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,40,0.025,e7,any Univ. of CA (UC),UC Davis,1,4,1,0,1,2,0,0,0,0,0,2,0,11,7,40,0.175,e7,any Univ. of CA (UC),UC Los Angeles,1,0,0,0,1,1,0,0,2,0,1,0,0,6,4,40,0.1,e7,any Univ. of CA (UC),UC Santa Cruz,1,1,1,1,0,1,0,0,0,0,0,0,0,5,2,40,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f6,any Cal State Univ. (CSU),Cal Poly Univ. SLO,1,1,0,1,0,0,1,0,3,0,0,0,0,7,4,40,0.1,f6,any Cal State Univ. (CSU),CSU Chico,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,40,0.025,f6,any Cal State Univ. (CSU),CSU Dominguez Hills,0,1,0,0,0,0,2,0,0,0,0,0,0,3,3,40,0.075,f6,any Cal State Univ. (CSU),CSU Fullerton,0,1,1,0,0,0,0,0,0,0,0,0,1,3,1,40,0.025,f6,any Cal State Univ. (CSU),CSU Sacramento,1,1,2,3,3,0,0,0,0,0,0,0,1,11,5,40,0.125,f6,any Cal State Univ. (CSU),Humboldt State Univ.,1,1,0,0,0,1,0,1,0,1,0,0,0,5,1,40,0.025,f6,any Cal State Univ. (CSU),San Francisco State U.,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,40,0.025,f6,any Cal State Univ. (CSU),San Jose State Univ.,0,0,0,1,0,0,0,0,1,0,0,0,1,3,3,40,0.075,f6,any Cal State Univ. (CSU),Sonoma State Univ.,1,1,0,0,0,1,1,0,0,0,1,0,0,5,1,40,0.025
g5,any private Univ. in CA,Cal Lutheran Univ.,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,40,0.025,g5,any private Univ. in CA,Cal Tech Univ.,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,40,0.05,g5,any private Univ. in CA,DeVry Univ.,1,0,0,0,1,1,1,1,1,0,0,0,0,6,1,40,0.025,g5,any private Univ. in CA,Livermore Labs,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,40,0.025,g5,any private Univ. in CA,Menlo College,1,0,0,0,0,1,1,1,1,1,2,0,0,8,2,40,0.05,g5,any private Univ. in CA,Pitzer College,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,40,0.025,g5,any private Univ. in CA,Pomona College,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,40,0.025,g5,any private Univ. in CA,Stanford Univ.,1,1,1,0,0,1,1,0,0,0,0,0,0,5,3,40,0.075,g5,any private Univ. in CA,Univ. San Francisco,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,40,0.05
u1,Universities out of CA 1,Central Washington U.,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,40,0.025,u1,Universities out of CA 1,Western Washington U.,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,40,0.05,u1,Universities out of CA 1,Oregon State Univ.,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,40,0.025,u1,Universities out of CA 1,U. Las Vegas Reno (NV),1,0,1,0,1,0,1,1,0,0,0,0,0,5,1,40,0.025,u1,Universities out of CA 1,Arizona State Univ.,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,40,0.025,u1,Universities out of CA 1,Colorado Mtn College,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,40,0.025,u1,Universities out of CA 1,Kansas State Univ.,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,40,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u2,Universities out of CA 2,Univ. Minnesota,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,40,0.025,u2,Universities out of CA 2,Michigan State Univ.,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,40,0.025,u2,Universities out of CA 2,Loyola Univ. (IL),0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,40,0.025,u2,Universities out of CA 2,Miami Univ. (OH),1,0,0,0,1,1,0,1,0,0,0,0,0,4,1,40,0.025,u2,Universities out of CA 2,Ohio State Univ.,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,40,0.025,u2,Universities out of CA 2,Texas A and M Univ.,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,40,0.025,u2,Universities out of CA 2,Cy-Fair College (TX),0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,40,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u3,Universities out of CA 3,Univ. New Hampshire,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,40,0.025,u3,Universities out of CA 3,Univ. Massachusetts,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,40,0.025,u3,Universities out of CA 3,Cornell Univ. (NY),0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,40,0.025,u3,Universities out of CA 3,Hunter College (NY),1,1,1,0,0,1,0,0,0,0,0,0,0,4,1,40,0.025,u3,Universities out of CA 3,Kean Univ. (NJ),0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,40,0.025,u3,Universities out of CA 3,Millersville Univ. (PA),0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,40,0.025,u3,Universities out of CA 3,Muhlenberg C. (PA),0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,40,0.025,u3,Universities out of CA 3,Penn State Univ.,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,40,0.025,,,,,,,,,,,,,,,,,,,,
u4,Universities out of CA 4,Roanoake College (VA),0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,40,0.025,u4,Universities out of CA 4,Georgia Perimeter C.,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,40,0.025,u4,Universities out of CA 4,Daytona State C. (FL),0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,40,0.025,u4,Universities out of CA 4,Univ. Florida,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,40,0.05,u4,Universities out of CA 4,Univ. New Orleas (LA),0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,40,0.025,u4,Universities out of CA 4,American Int'l Sch. Egypt,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,40,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z12,miscellaneous categories,a high school,4,3,0,0,0,1,2,2,2,2,2,2,1,21,11,40,0.275,z12,miscellaneous categories,"a vendor (W.Ed, 3CM., etc)",0,0,1,0,1,0,0,3,2,0,7,2,2,18,16,40,0.4,z12,miscellaneous categories,no location given,1,0,1,0,0,0,0,1,0,0,1,0,1,5,5,40,0.125,z12,miscellaneous categories,retired ,1,1,1,0,1,0,1,0,0,0,0,1,0,6,6,40,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
